image_id,captions
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2404488732_ca1bbdacc2.jpg,A brown and white dog runs in the grass and jumping off of a mountain .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3421131122_2e4bde661e.jpg,Two people are racing across a river .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3033668641_5905f73990.jpg,A rock climber is climbing a rock cliff .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2234702530_a265a4df22.jpg,A man and woman walk together and sitting on a park bench .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/512031915_0dd03dcdf9.jpg,"A black puppy is standing inside a small , brown dog ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3690431163_1d81e19549.jpg,A man and woman are in a race car .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3136043366_b3f8607a0e.jpg,A football player is tackling a player on the opposing team .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/185057637_e8ada37343.jpg,Four boys in blue shirts and blue pants pose in a park .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3639363462_bcdb21de29.jpg,A woman holds a toddler with a white balloon .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/247691240_3881777ab8.jpg,A person in a red shirt is climbing a cliff .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2891185857_54942809cf.jpg,a group of people in a outfits with a yellow painted wall
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/233242340_09963100a3.jpg,A black and white dog weaves over an obstacle .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3094064787_aed1666fc9.jpg,A dog with a toy in its mouth .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2887744223_029f2fd5fe.jpg,Two soccer players are jumping into the air .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/368954110_821ccf005c.jpg,A little girl in the grass .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1781227288_6811e734be.jpg,A man and a woman sit on a park bench at a park .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/608257195_6ec6f48e37.jpg,A distorted picture of a person on a bike riding down a dirt trail in the woods .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3511062827_cd87871c67.jpg,"An old , black dog with a bandanna ."
